cbsa_code,cbsa_name,total_count,pubHS_count,privHS_count,cc_count,other_count
16980,"Chicago-Naperville-Elgin, IL-IN-WI",132,95,23,4,10
28140,"Kansas City, MO-KS",89,54,14,1,20
41180,"St. Louis, MO-IL",87,47,32,0,8
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",77,57,19,0,1
48620,"Wichita, KS",64,53,7,2,2
19100,"Dallas-Fort Worth-Arlington, TX",55,32,21,0,2
19740,"Denver-Aurora-Lakewood, CO",50,45,4,0,1
36540,"Omaha-Council Bluffs, NE-IA",33,23,9,0,1
31080,"Los Angeles-Long Beach-Anaheim, CA",28,20,7,1,0
45820,"Topeka, KS",26,23,2,0,1
26420,"Houston-The Woodlands-Sugar Land, TX",16,12,4,0,0
40900,"Sacramento--Roseville--Arden-Arcade, CA",12,7,4,0,1
30700,"Lincoln, NE",12,6,3,0,3
46140,"Tulsa, OK",11,4,6,0,1
26740,"Hutchinson, KS",11,8,2,1,0
12420,"Austin-Round Rock, TX",11,10,1,0,0
41860,"San Francisco-Oakland-Hayward, CA",10,5,2,0,3
41460,"Salina, KS",9,6,2,0,1
36420,"Oklahoma City, OK",9,2,6,0,1
37660,"Parsons, KS",8,6,0,2,0
31740,"Manhattan, KS",7,3,0,0,4
11680,"Arkansas City-Winfield, KS",7,6,0,0,1
37100,"Oxnard-Thousand Oaks-Ventura, CA",6,2,3,0,1
14500,"Boulder, CO",6,6,0,0,0
23780,"Garden City, KS",6,3,0,1,2
29940,"Lawrence, KS",6,5,1,0,0
38260,"Pittsburg, KS",6,5,1,0,0
21380,"Emporia, KS",5,4,0,0,1
22660,"Fort Collins, CO",5,5,0,0,0
41700,"San Antonio-New Braunfels, TX",5,3,1,0,1
32700,"McPherson, KS",5,4,0,0,1
17820,"Colorado Springs, CO",5,4,0,0,1
11860,"Atchison, KS",5,4,1,0,0
35620,"New York-Newark-Jersey City, NY-NJ-PA",4,2,0,0,2
17700,"Coffeyville, KS",4,3,0,1,0
27920,"Junction City, KS",4,3,0,0,1
44180,"Springfield, MO",4,2,1,0,1
32820,"Memphis, TN-MS-AR",4,4,0,0,0
25700,"Hays, KS",4,2,1,0,1
30580,"Liberal, KS",4,1,0,3,0
16300,"Cedar Rapids, IA",4,2,1,1,0
19780,"Des Moines-West Des Moines, IA",4,2,1,0,1
41140,"St. Joseph, MO-KS",4,2,1,1,0
36840,"Ottawa, KS",4,3,0,0,1
38060,"Phoenix-Mesa-Scottsdale, AZ",4,3,1,0,0
40140,"Riverside-San Bernardino-Ontario, CA",3,1,1,0,1
41940,"San Jose-Sunnyvale-Santa Clara, CA",3,0,1,1,1
24460,"Great Bend, KS",3,0,0,0,3
41740,"San Diego-Carlsbad, CA",3,2,0,1,0
33340,"Milwaukee-Waukesha-West Allis, WI",3,0,0,0,3
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",3,3,0,0,0
17460,"Cleveland-Elyria, OH",3,2,1,0,0
32340,"Maryville, MO",2,0,0,0,2
28260,"Kearney, NE",2,0,1,0,1
19980,"Dodge City, KS",2,1,0,0,1
26980,"Iowa City, IA",2,2,0,0,0
14010,"Bloomington, IL",2,1,0,0,1
22220,"Fayetteville-Springdale-Rogers, AR-MO",2,0,0,0,2
14700,"Branson, MO",2,1,0,0,1
43580,"Sioux City, IA-NE-SD",1,0,0,0,1
16060,"Carbondale-Marion, IL",1,0,0,0,1
42220,"Santa Rosa, CA",1,0,0,0,1
23620,"Gainesville, TX",1,1,0,0,0
46340,"Tyler, TX",1,0,0,0,1
24260,"Grand Island, NE",1,1,0,0,0
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",1,0,0,0,1
20740,"Eau Claire, WI",1,0,0,1,0
32860,"Menomonie, WI",1,0,0,1,0
22540,"Fond du Lac, WI",1,0,0,0,1
31540,"Madison, WI",1,0,0,0,1
22140,"Farmington, NM",1,0,0,1,0
12060,"Atlanta-Sandy Springs-Roswell, GA",1,0,0,0,1
16580,"Champaign-Urbana, IL",1,1,0,0,0
39500,"Quincy, IL-MO",1,0,1,0,0
37900,"Peoria, IL",1,1,0,0,0
44100,"Springfield, IL",1,0,1,0,0
47660,"Warrensburg, MO",1,1,0,0,0
48140,"Wausau, WI",1,0,0,0,1
22780,"Fort Leonard Wood, MO",1,1,0,0,0
16020,"Cape Girardeau, MO-IL",1,0,0,0,1
27620,"Jefferson City, MO",1,1,0,0,0
36780,"Oshkosh-Neenah, WI",1,0,0,0,1
11540,"Appleton, WI",1,0,0,0,1
31940,"Marinette, WI-MI",1,0,0,0,1
43100,"Sheboygan, WI",1,0,0,0,1
40340,"Rochester, MN",1,0,0,1,0
